"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"223","Lutjanus Griseus",-82.64167,27.889513,1,-82.64167,27.889513
"224","Lutjanus Griseus",-74.17551,40.078873,1,-74.17551,40.078873
"225","Lutjanus Griseus",-83.001795,28.044892,1,-83.001795,28.044892
"226","Lutjanus Griseus",-81.101219,24.711353,1,-81.101219,24.711353
"227","Lutjanus Griseus",-86.853827,30.378782,1,-86.853827,30.378782
"228","Lutjanus Griseus",-96.759097,26.8716,1,-96.759097,26.8716
"229","Lutjanus Griseus",-64.932739,32.359711,1,-64.932739,32.359711
"230","Lutjanus Griseus",-75.847166,37.272185,1,-75.847166,37.272185
"231","Lutjanus Griseus",-74.115302,40.093991,1,-74.115302,40.093991
"232","Lutjanus Griseus",-87.255528,30.320259,1,-87.255528,30.320259
"233","Lutjanus Griseus",-94.804073,29.29191,1,-94.804073,29.29191
"234","Lutjanus Griseus",-81.137999,22.166589,1,-81.137999,22.166589
"235","Lutjanus Griseus",-72.579276,40.903887,1,-72.579276,40.903887
"236","Lutjanus Griseus",-72.298375,21.750572,1,-72.298375,21.750572
"237","Lutjanus Griseus",-81.32045,24.698572,1,-81.32045,24.698572
"238","Lutjanus Griseus",-81.814735,26.092411,1,-81.814735,26.092411
"239","Lutjanus Griseus",-72.417475,40.950865,1,-72.417475,40.950865
"240","Lutjanus Griseus",-70.207541,41.274781,1,-70.207541,41.274781
"241","Lutjanus Griseus",-87.942183,17.945987,1,-87.942183,17.945987
"242","Lutjanus Griseus",-87.402579,30.303034,1,-87.402579,30.303034
"243","Lutjanus Griseus",-78.591164,26.535072,1,-78.591164,26.535072
"244","Lutjanus Griseus",-86.979287,20.2809,1,-86.979287,20.2809
"245","Lutjanus Griseus",-96.380756,27.699184,1,-96.380756,27.699184
"246","Lutjanus Griseus",-81.519683,24.727905,1,-81.519683,24.727905
"247","Lutjanus Griseus",-71.654584,19.866978,1,-71.654584,19.866978
"248","Lutjanus Griseus",-80.042542,27.189455,1,-80.042542,27.189455
"249","Lutjanus Griseus",-81.587098,30.749181,1,-81.587098,30.749181
"250","Lutjanus Griseus",-82.143936,9.255408,1,-82.143936,9.255408
"251","Lutjanus Griseus",-82.730922,27.533889,1,-82.730922,27.533889
"252","Lutjanus Griseus",-88.072608,17.552567,1,-88.072608,17.552567
"253","Lutjanus Griseus",-72.131836,21.808869,1,-72.131836,21.808869
"254","Lutjanus Griseus",-80.166108,25.84944,1,-80.166108,25.84944
"255","Lutjanus Griseus",-80.437326,25.087759,1,-80.437326,25.087759
"256","Lutjanus Griseus",-82.465212,26.918864,1,-82.465212,26.918864
